id,overall,name,position,age,team,nation
20,7682,Steffen Iversen,STROM,27,Valerenga Oslo,Norwegen
21,7681,Les Ferdinand,ST,37,Bolton Wanderers,England
22,7691,Trevor Sinclair,RFLRMZOM,31,Manchester City,England
23,7684,Sylvain N'Diaye,ZMZDM,28,Olympique Marseille,Senegal
24,7682,Jon Busch,TW,28,Columbus Crew,USA
25,7686,Murillo,IV,21,Athletic Bilbao,Spanien
26,7693,Deniz Baris,IVRVZDM,27,Türkei,Türkei
27,7681,Lars Iver Strand,MSRSRA,21,Tromsö IL,Norwegen
28,7686,Paolo Castellini,LIVLVLAV,25,Real Betis Sevilla,Italien
29,7681,Thorben Marx,RZDMRZMRM,23,Hertha BSC Berlin,Deutschland
30,7693,Del Horno,LAVLFLLOM,23,Athletic Bilbao,Spanien
1,7686,Florent Malouda,ST,24,Olympique Lyon,Frankreich
2,7687,Alexander Ødegaard,RSLSLFL,24,Sogndal,Norwegen
3,7692,Maurice Ross,IVRV,23,Rangers,Schottland
4,7692,Thimothée Atouba,LVLAVLFL,22,Tottenham Hotspur,Kamerun
5,7686,James McFadden,MSLFLLA,21,Everton,Schottland
6,7683,Evanilson,RAVRVRM,29,Borussia Dortmund,Brasilien
7,7690,Sean Davis,ZMZDMRM,25,Tottenham Hotspur,England
8,7686,Peter Enckelman,TW,27,Blackburn Rovers,Finnland
9,7690,Daniel Gygax,RASTRM,23,FC Zürich,Schweiz
10,7688,Tim Borowski,ZMZDMRZM,24,SV Werder Bremen,Deutschland
11,7692,Pontus Farnerud,ZOMZM,24,AS Monaco,Schweden
12,7685,Oumar Kondé,RIVIVLIV,25,SC Freiburg,Schweiz
13,7681,Zlatko Zahovic,ZOMZMMS,33,Benfica Lissabon,Slowenien
14,7686,Milan Fukal,RVRAVIV,29,Bor. M'Gladbach,Tschechische Repub.
15,7694,Lee W. J.,TW,31,Suwon Bluewings,"Korea, Republik"
16,7686,Manfred Rothbauer,RMRVRDM,28,FC Superfund Pasching,Österreich
17,7683,John Kennedy,IVRV,21,Celtic,Schottland
18,7681,Chris Armas,ZDMZM,32,Chicago Fire,USA
19,7682,Stefano Bettarini,LVLAV,32,Doria,Italien
20,7691,Aaron Hughes,IVLVLAV,24,Newcastle United,Nordirland
21,7678,Tony Sanneh,RVRAVRM,33,Columbus Crew,USA
22,7684,Steve Ralston,RMZMLM,30,New England Rev.,USA
23,7686,Ben Olsen,RFLRMLM,27,D.C. United,USA
24,7687,Doriva,ZM,32,Middlesbrough,Brasilien
25,7688,Clinton Morrison,ST,25,Birmingham City,Republik Irland
26,7691,Titus Bramble,IVRV,23,Newcastle United,England
27,7686,Darius Kampa,TW,27,Bor. M'Gladbach,Deutschland
28,7688,Sylvain Wiltord,STMSRA,30,Olympique Lyon,Frankreich
29,7685,Marcus Lantz,ZMZDMRZDM,28,FC Hansa Rostock,Schweden
30,7681,Everton Giovanella,ZMLZMZOM,34,Celta Vigo,Brasilien
1,7689,Igor Demo,ZMZDM,29,Bor. M'Gladbach,Slowakei
2,7690,Javier De Pedro,LMLFL,31,Blackburn Rovers,Spanien
3,7686,Valeri Karpin,RMZOM,35,Real Sociedad,Russland
4,7682,Kevin Lisbie,STRFLMS,25,Charlton Athletic,Jamaika
5,7685,Aguilera,RVRAVRFL,35,Atlético Madrid,Spanien
6,7685,Mohamed Gargo,IVZDMZM,29,Genoa,Ghana
7,7685,Dick van Burik,IVRIVLIB,30,Hertha BSC Berlin,Niederlande
8,7685,Dimitrios Grammozis,ZDMRAVLAV,26,1. FC Kaiserslautern,Griechenland
9,7681,Ivo Ulich,ZMZDMRDM,30,Bor. M'Gladbach,Tschechische Repub.
10,7685,Bülent Korkmaz,IVLIB,35,Galatasaray,Türkei
11,7681,Teddy Lucic,IVLV,31,Bayer Leverkusen,Schweden
12,7694,Igor Biscan,ZDMZMIV,26,Liverpool,Kroatien
13,7690,Gareth Barry,LVIVLAV,23,Aston Villa,England
14,7689,Raphael Wicky,ZDMLMRV,27,Hamburger SV,Schweiz
15,7690,Ronny Johnsen,IVZDM,35,Norwegen,Norwegen
16,7681,Harald Martin Brattbakk,LSLFL,33,Rosenborg Trondheim,Norwegen
17,7681,Fernando Sanz,IVZDMLIV,30,FC Malaga,Spanien
18,7685,Mauro Silva,ZDMRZDMLZDM,36,Deportivo La Coruna,Brasilien
19,7690,Jari Litmanen,ZMZOMMS,33,Finnland,Finnland
20,7683,Bernard Mendy,RVLV,23,Paris Saint-Germain,Frankreich
21,7688,David Sommeil,IVRV,30,Manchester City,Frankreich
22,7686,Andrew O'Brien,IV,25,Newcastle United,Republik Irland
23,7686,Krysztof Ratajczyk,IVLIBRAV,30,Austria Magna,Polen
24,7686,Sergio Volpi,ZOMLMZM,30,Doria,Italien
25,7694,Daniele Adani,RIVRAVRV,30,Brescia,Italien
26,7691,Sven Vermant,ZOMZMROM,31,FC Schalke 04,Belgien
27,7687,Armando Sá,RVLV,29,Villarreal,Mosambik
28,7686,Mehdi Meniri,IVRIVLIV,27,FC Metz,Frankreich
29,7688,Carsten Ramelow,ZDMIVLIB,30,Bayer Leverkusen,Deutschland
30,7684,Pascal Delhommeau,IV,26,FC Nantes,Frankreich
1,7682,Dirk Lottner,ZOMZMLM,32,MSV Duisburg,Deutschland
2,7684,Pal Dárdai,LZDMLZMZDM,28,Hertha BSC Berlin,Ungarn
3,7684,Bryan Hughes,LMZOMZM,28,Charlton Athletic,England
4,7685,Hasan Salihamidzic,RFLRZOMRAV,27,FC Bayern München,Bosnien-Herzegowina
5,7690,Marco Aurélio,TW,34,CF Belenenses,Portugal
6,7688,Roman Weidenfeller,TW,24,Borussia Dortmund,Deutschland
7,7686,Didier Domi,LVLAV,26,Espanyol Barcelona,Frankreich
8,7688,Jacek Bąk,IVRIV,31,RC Lens,Polen
9,7691,Zé Maria,LVRAVRV,31,Inter Mailand,Brasilien
10,7692,Giuseppe Favalli,IVLVLIB,32,Inter Mailand,Italien
11,7686,Luca Marchegiani,TW,38,Chievo Verona,Italien
12,7687,Roberto Muzzi,MSRARFL,33,Lazio Rom,Italien
13,7688,Christian Ziege,LMLFLLAV,32,Bor. M'Gladbach,Deutschland
14,7686,Kenny Cunningham,IVRV,33,Birmingham City,Republik Irland
15,7691,Dominic Matteo,IVLVZDM,30,Blackburn Rovers,Schottland
16,7688,Steve McManaman,LMZOM,32,Manchester City,England
17,7681,John Spencer,MSZOM,34,Colorado Rapids,Schottland
18,7688,Luis García,STRAMS,23,RCD Mallorca,Spanien
19,7691,Alessio Scarpi,TW,31,Genoa,Italien
20,7590,Ilan,ST,24,FC Sochaux,Brasilien
21,7584,Fernando Hierro,IVZDM,36,Bolton Wanderers,Spanien
22,7580,Zeljko Tadic,TW,30,Vasco Da Gama,Serbien
23,7580,Roberto Oscar Bonano,TW,34,Deportivo Alavés,Argentinien
24,7593,Riccardo Montolivo,ZOMRZOMLZOM,19,Atalanta,Italien
25,7585,Marcin Kuźba,STLSRS,27,Wisla Krakau,Polen
26,7588,Giorgio Corona,ST,30,Catanzaro,Italien
27,7585,Edmar,TW,23,Estoril Praia,Brasilien
28,7583,Marcelo Heleno,IV,27,Esporte Club Vitoria,Brasilien
29,7580,Mario Carevic,ZMZOMLFL,22,Kroatien,Kroatien
30,7585,Kodjo Afanou,IVRIVRV,26,Girondins Bordeaux,Togo
1,7587,Romaric,RZOMMS,21,SK Beveren,Elfenbeinküste
2,7580,Oleg Iachtchouk,LA,26,RSC Anderlecht,Ukraine
3,7591,Anthony Vanden Borre,RAVRVRDM,16,RSC Anderlecht,Belgien
4,7580,Seo D. M.,TW,30,Ulsan Hyundai Horang,"Korea, Republik"
5,7586,Modeste M'Bami,ZDMLFLLM,21,Paris Saint-Germain,Kamerun
6,7580,Justo Villar,TW,27,Paraguay,Paraguay
7,7580,Gilmar,ST,20,Esporte Club Vitoria,Brasilien
8,7580,Geir Frigård,STMS,33,Hamarkameratene,Norwegen
9,7586,Tomasz Sokolowski,ZMRZM,19,Lyn,Norwegen
10,7582,Robert Koren,ZMZOMRFL,24,Lilleström SK,Slowenien
11,7580,Steinar Nilsen,IVRVRIV,32,Tromsö IL,Norwegen
12,7587,Jérémy Berthod,IV,20,Olympique Lyon,Frankreich
13,7584,Al Saadi Gheddafi,ST,31,AC Perugia,Libyen
14,7585,Nicolae Marius Dica,STLFL,24,Romania,Rumänien
15,7584,Sergey Ovchinnikov,TW,33,Russland,Russland
16,7585,Pablo García,RIVIVLIV,19,Albacete,Spanien
17,7589,Núñez,RMRFLST,25,Liverpool,Spanien
18,7582,Méndez,IVZM,27,Celta Vigo,Argentinien
19,7585,Ibrahim Toraman,IVLIBZDM,22,Türkei,Türkei
20,7581,Volkan Demirel,TW,22,Türkei,Türkei
21,7586,Mauro Damián Rosales,RAMSST,23,Ajax Amsterdam,Argentinien
22,7582,Oscar Ahumada,ZMZDM,22,VfL Wolfsburg,Argentinien
23,7582,Marcelino,RIVIV,33,Polideportivo Ejido,Spanien
24,7584,Sanchez,ST,32,Celta Vigo,Spanien
25,7587,Cláudio A. Maldonado,ZDMZMRM,24,Cruzeiro,Chile
26,7590,Moritz Volz,RVZDMIV,21,Fulham,Deutschland
27,7590,Vincent Enyeama,TW,22,Nigeria,Nigeria
28,7595,Ivica Olic,MSST,25,Kroatien,Kroatien
29,7585,Christian Wilhelmsson,ZMST,24,RSC Anderlecht,Schweden
30,7586,Vincent Kompany,IV,18,RSC Anderlecht,Belgien
1,7582,Kevin McKenna,IVSTZDM,24,Heart Of Midlothian,Kanada
2,7590,Jonathon Stead,MSST,21,Blackburn Rovers,England
3,7583,Jesús Arellano,ZOMMS,31,Monterrey,Mexiko
4,7584,Franco Darío Cangele,STMS,20,Boca Juniors,Argentinien
5,7594,Nicolás Andrés Burdisso,IVLIBZDM,23,Inter Mailand,Argentinien
6,7592,Darren Fletcher,RMZMZOM,20,Manchester United,Schottland
7,7580,Hong Myung Bo,IVZDMLIB,35,Los Angeles Galaxy,"Korea, Republik"
8,7580,Landry Bonnefoi,TW,21,Juventus Turin,Frankreich
9,7588,Magrão,ZMZDMRM,25,Palmeiras,Brasilien
10,7586,Eddie Gaven,ZOMRMMS,17,Metrostars,USA
11,7593,Alecko Eskandarian,ST,22,D.C. United,USA
12,7588,Baki,STRSLS,23,FC Lorient,Elfenbeinküste
13,7580,Kim Y. G.,TW,21,Chunnam Dragons,"Korea, Republik"
14,7580,Kim B. J.,TW,34,Pohang Steelers,"Korea, Republik"
15,7580,Dodo,MSST,30,Ulsan Hyundai Horang,Brasilien
16,7580,Senna,ZMZDM,28,Villarreal,Brasilien
17,7581,David García,LVLAV,23,Espanyol Barcelona,Spanien
18,7588,Danrlei,TW,31,Atletico Mineiro,Brasilien
19,7583,Guilherme,STMSRS,30,Cruzeiro,Brasilien
20,7584,Jean,ST,22,Flamengo,Brasilien
21,7591,Fernando Henrique,TW,20,Fluminense,Brasilien
22,7588,Kléber,LVLAVLM,24,FC Basel,Brasilien
23,7580,Angel,RVRAVRIV,23,Celta Vigo,Spanien
24,7585,Isaac Boakye,STMS,22,Arminia Bielefeld,Ghana
25,7589,Klodian Duro,ZMZDM,26,Arminia Bielefeld,Albanien
26,7585,Serkan Balci,RMRFLZM,21,Türkei,Türkei
27,7595,Julius Aghahowa,STMSROM,22,Nigeria,Nigeria
28,7587,Thomas Magnusson,IV,26,Trelleborgs,Schweden
29,7580,Olof Persson,IVZDM,26,Malmö FF,Schweden
30,7585,Laurent Batlles,ZOMROMRM,29,Olympique Marseille,Frankreich
1,7585,Daniel Cousin,ST,27,RC Lens,Gabun
2,7580,Jérémie Janot,TW,26,AS St.Etienne,Frankreich
3,7580,Perera,STZOMRZOM,24,RCD Mallorca,Spanien
4,7585,Antonio López,LVLAV,23,Atlético Madrid,Spanien
5,7585,Constantin C. Munteanu,ZMZOM,25,Real  Murcia,Rumänien
6,7580,J. Moreno,STMS,30,Real Saragossa,Spanien
7,7587,Colsa,ZDMRZDMLZDM,25,Atlético Madrid,Spanien
8,7580,Sergio,TW,27,Getafe,Spanien
9,7582,Chaouki Ben Saada,LOMLZOMMS,20,SC Bastia,Frankreich
10,7581,Martí,ZOMZMZDM,29,Sevilla,Spanien
11,7582,Sergio A.,TW,27,Atlético Madrid,Spanien
12,7581,David,LVIV,30,Sevilla,Spanien
13,7585,Mario,IVLIBZDM,22,RCD Mallorca,Spanien
14,7584,Jofre,LALZOMLM,24,Levante UD,Spanien
15,7585,Litos,IVRZDM,30,FC Malaga,Portugal
16,7580,Dani Mallo,TW,25,Deportivo La Coruna,Spanien
17,7584,Lainez,TW,27,Real Saragossa,Spanien
18,7588,Ronnie O'Brien,RMZM,25,Dallas Burn,Republik Irland
19,7580,Frankie Hejduk,RAVRMRV,30,Columbus Crew,USA
20,7583,Marco Streller,STLS,23,VfB Stuttgart,Schweiz
21,7594,Marek Saganowski,STMS,25,Legia Warschau,Polen
22,7580,Mads Jørgensen,ZM,25,Stabaek IF,Dänemark
23,7584,Mark De Vries,ST,29,Heart Of Midlothian,Niederlande
24,7593,David Velasquez Suazo,ST,24,Cagliari Calcio,Honduras
25,7585,Tristan Peersman,TW,25,RSC Anderlecht,Belgien
26,7583,Marco Engelhardt,ZDMZMLZM,23,1. FC Kaiserslautern,Deutschland
27,7580,Panagiotis Fyssas,LAVLV,31,Benfica Lissabon,Griechenland
28,7592,Rohan Ricketts,ZMZOM,21,Tottenham Hotspur,England
29,7593,Jay Bothroyd,ST,22,Blackburn Rovers,England
30,7590,Anthony Gardner,IV,24,Tottenham Hotspur,England
1,7583,N. Aranda,STRALA,24,Sevilla,Spanien
2,7592,Florent Sinama-Pongolle,ST,19,Liverpool,Frankreich
3,7592,Anthony Le Tallec,ZOMMS,20,AS St.Etienne,Frankreich
4,7587,Gianluca Atzori,IVLV,33,US Palermo,Italien
5,7585,Damien Johnson,RMZOMRFL,25,Birmingham City,Nordirland
6,7582,Radostin Kishishev,RVRAVRM,30,Charlton Athletic,Bulgarien
7,7585,Martin Taylor,IVSTZDM,24,Birmingham City,England
8,7584,Gary Doherty,IVST,24,Norwich City,Republik Irland
9,7590,Carlton Cole,ST,20,Aston Villa,England
10,7590,Simon Davies,RMZOMZM,24,Tottenham Hotspur,Wales
11,7580,Trond Fredrik Ludvigsen,MSLARA,22,FK Bodö/Glimt,Norwegen
12,7585,Philippe Senderos,IVRV,19,Arsenal,Schweiz
13,7590,Alhassane Keita,STMS,21,FC Zürich,Guinea
14,7584,Kyle Martino,ZOMMSLM,23,Columbus Crew,USA
15,7588,Papa Bouba Diop,ZDMZM,26,Fulham,Senegal
16,7590,João Pinto,ZOMMS,33,Boavista Porto,Portugal
17,7582,Antar Yahia,LVIVLAV,22,SC Bastia,Frankreich
18,7583,Diego Martín Alonso,STLSRS,29,U.N.A.M.,Uruguay
19,7590,Olivier Bernard,LAVLV,24,Newcastle United,Frankreich
20,7580,Sasa Papac,LVLAVLIV,24,Austria Magna,Bosnien-Herzegowina
21,7587,Leandro,LFLLAVLV,25,Cruzeiro,Brasilien
22,7583,Mikael Antonsson,IV,23,Austria Magna,Schweden
23,7585,Ragnvald Soma,IVZM,24,SK Brann,Norwegen
24,7588,Nils-Eric Johansson,IVRV,24,Blackburn Rovers,Schweden
25,7582,Chong-Gug Song,RAVRFL,25,Feyenoord Rotterdam,"Korea, Republik"
26,7586,Mamadou Niang,ST,24,RC Strasburg,Senegal
27,7585,Abdoulaye Meïté,IVRIVLV,24,Olympique Marseille,Frankreich
28,7588,Wilson Oruma,RFLLFLLM,27,FC Sochaux,Nigeria
29,7581,David Fernandez,LFLRFLST,28,Celtic,Spanien
30,7587,Christoph Spycher,LMLVZM,26,Grasshoppers Zürich,Schweiz
1,7592,Ivan Ergic,ZMZOM,23,FC Basel,Kroatien
2,7585,Scott Chipperfield,LMLOMLA,29,FC Basel,Australien
3,7591,Zlatan Bajramovic,ZMZDMRM,25,SC Freiburg,Bosnien-Herzegowina
4,7580,Jan Frode Nornes,IVLIVRIV,31,Odd Grenland SKien,Norwegen
5,7582,Ronny Deila,IVRIVLIV,29,Odd Grenland SKien,Norwegen
6,7580,Shunsuke Nakamura,ZMZOMRZM,26,Reggina Calcio,Japan
7,7585,Simone Barone,ZMRM,26,US Palermo,Italien
8,7582,Sandro,IV,31,CF Belenenses,Brasilien
9,7580,Héctor Tapia,ST,27,Cruzeiro,Chile
10,7587,F. Aurelio,LAVLVIV,25,FC Valencia,Brasilien
11,7590,Ulises De La Cruz,RVRAVZOM,30,Aston Villa,Ecuador
12,7590,David Cortes Pizarro,ZM,25,Udinese,Chile
13,7592,Michael Carrick,ZMZDM,23,Tottenham Hotspur,England
14,7586,Magnus Arvidsson,STRSROM,31,FC Hansa Rostock,Schweden
15,7586,Jonas Wallerstedt,ST,26,Sundsvall,Schweden
16,7580,Frode Olsen,TW,36,Viking FK,Norwegen
17,7585,Gaëtan Englebert,RM,28,FC Brügge,Belgien
18,7583,Mark Chung,LMZM,34,Colorado Rapids,USA
19,7587,Daniël Zitka,TW,29,RSC Anderlecht,Tschechische Repub.
20,7580,Greg Vanney,LVLAV,30,SC Bastia,USA
21,7580,Pablo Mastroeni,IVZDM,28,Colorado Rapids,USA
22,7582,Luciano Martín Galletti,RFLRA,24,Real Saragossa,Argentinien
23,7582,Alan Maybury,RVRAVIV,26,Heart Of Midlothian,Republik Irland
24,7588,Mario Haas,STRSLS,30,SK Sturm Graz,Österreich
25,7589,Gerald Asamoah,RSRARFL,26,FC Schalke 04,Deutschland
26,7584,Peña,IV,31,Villarreal,Bolivien
27,7585,Nastja Ceh,ZOMLM,26,FC Brügge,Slowenien
28,7580,Earnie Stewart,ZMZOMRM,35,D.C. United,USA
29,7585,Quinton Fortune,LMLVLAV,27,Manchester United,Südafrika
30,7593,Viktor Onopko,LIBIV,34,Russland,Russland
1,7583,Philippe Clement,ZDMLM,30,FC Brügge,Belgien
2,7581,Ali El Katthabi,STMS,27,AZ Alkmaar,Marokko
3,7594,Tomasz Radzinski,STRFL,30,Fulham,Kanada
4,7589,Alessandro Birindelli,RVIV,29,Juventus Turin,Italien
5,7586,Patrick Paauwe,IVLVLAV,28,Feyenoord Rotterdam,Niederlande
6,7590,Boubacar Diarra,LIVIVRIV,25,SC Freiburg,Mali
7,7585,Niclas Alexandersson,RMZOM,32,IFK Göteborg,Schweden
8,7589,Dejan Stankovic,ZMZOMRM,26,Inter Mailand,Serbien
9,7588,Alexander Manninger,TW,27,AC Siena,Österreich
10,7580,Pascal Zuberbühler,TW,33,FC Basel,Schweiz
11,7584,Joakim Persson,IVZDMZM,29,FC Hansa Rostock,Schweden
12,7587,Stéphane Pichot,RV,28,Paris Saint-Germain,Frankreich
13,7587,Mohammed Sylla,RVRAVIV,27,Celtic,Guinea
14,7581,Ulrik Laursen,LVLAV,28,Celtic,Dänemark
15,7586,Henrik Pedersen,ST,29,Bolton Wanderers,Dänemark
16,7588,Mihai Tararache,ZMLMZDM,26,FC Zürich,Rumänien
17,7589,Caneira,RVRIVIV,25,FC Valencia,Portugal
18,7581,Tommy Berntsen,IVRIVLIB,30,Lyn,Norwegen
19,7580,Emille Baron,TW,25,Lilleström SK,Südafrika
20,7582,Erik Hoftun,IVLIB,35,Rosenborg Trondheim,Norwegen
21,7590,George Boateng,ZDMRMZM,29,Middlesbrough,Niederlande
22,7586,Marcelo Pletsch,IVRV,28,Bor. M'Gladbach,Brasilien
23,7590,Marians Pahars,ST,28,Southampton,Lettland
24,7581,Silvio Meißner,ZDMRZMRM,31,VfB Stuttgart,Deutschland
25,7583,Gert Verheyen,STRA,34,FC Brügge,Belgien
26,7585,Paulo Vanoli,IVLV,32,Rangers,Italien
27,7593,Antonio Chimenti,TW,34,Juventus Turin,Italien
28,7589,Lorenzo D'Anna,IVLV,32,Chievo Verona,Italien
29,7584,Simo Valakari,ZDMZM,31,Dallas Burn,Finnland
30,7587,Danny Higginbotham,IVLV,25,Southampton,England
1,7580,Bill Tchato,LVLAVLIV,29,1. FC Kaiserslautern,Kamerun
2,7583,Frechaut,RVRFLRM,27,Boavista Porto,Portugal
3,7583,Zoumana Camara,IVRV,25,AS St.Etienne,Frankreich
4,7588,Bonaventure Kalou,MSRFLLFL,26,AJ Auxerre,Elfenbeinküste
5,7593,Leonardo,LFLLA,21,Feyenoord Rotterdam,Brasilien
6,7590,Hatem Trabelsi,RAVRVRIV,27,Ajax Amsterdam,Tunesien
7,7588,Johann Vogel,ZMLZMZDM,27,PSV Eindhoven,Schweiz
8,7595,Kily González,LFLLMLA,30,Inter Mailand,Argentinien
9,7584,Charlie Miller,ZMZOMMS,28,SK Brann,Schottland
10,7588,Andres Guglielminpietro,MSZOMST,30,Boca Juniors,Argentinien
11,7584,Celades,ZDMZMRM,29,Real Madrid,Spanien
12,7589,Florent Laville,IV,31,Bolton Wanderers,Frankreich
13,7588,Antoine Sibierski,ZOMMS,30,Manchester City,Frankreich
14,7582,Vidar Riseth,IVRVRM,32,Rosenborg Trondheim,Norwegen
15,7580,Erik Nevland,RSSTMS,26,Viking FK,Norwegen
16,7586,Christian Karembeu,RMRFLROM,34,Servette FC,Frankreich
17,7588,Fabio Rustico,LVLAV,28,Atalanta,Italien
18,7586,Gianfranco Zola,ZOMRZOMST,38,Cagliari Calcio,Italien
19,7589,Luigi Sala,IVLIBRV,30,Atalanta,Italien
20,7585,Cyril Jeunechamp,RAVZDM,28,Rennes,Frankreich
21,7587,Stefan Beinlich,ZMZDMLM,32,Hamburger SV,Deutschland
22,7585,Joseph-Désiré Job,MSSTZOM,26,Middlesbrough,Kamerun
23,7585,Tony Mario Sylva,TW,29,Lille Osc,Senegal
24,7580,Stéphane Chapuisat,STMS,35,BSC Young Boys,Schweiz
25,7581,Davide Dionigi,ST,30,Reggina Calcio,Italien
26,7590,Arnau,TW,29,FC Malaga,Spanien
27,7479,Farinós,ZMZDMRM,26,RCD Mallorca,Spanien
28,7487,Fred,ST,21,Cruzeiro,Brasilien
29,7490,Reinaldo Navia,ST,26,América,Chile
30,7485,Umberto Del Core,ST,24,Arezzo,Italien
1,7483,Mark Gonzalez,LFLLMLV,20,Albacete,Chile
2,7483,Ali Elzaetoni,STLSRS,22,Tunesien,Tunesien
3,7484,Dani,STRARFL,29,Espanyol Barcelona,Spanien
4,7480,Andrija Delibasic,STMS,23,RCD Mallorca,Serbien
5,7479,Vladimir Ivanov,IVRAVRV,31,Bulgarien,Bulgarien
6,7485,Arizmendi,STLSRS,20,Atlético Madrid,Spanien
7,7484,Antonio Pacheco D´Agosti,MSST,27,Albacete,Uruguay
8,7489,Adolfo Bautista,STMS,25,Guadalajara,Mexiko
9,7482,Dennis Cagara,LVLAV,19,Hertha BSC Berlin,Dänemark
10,7485,Fabrício Carvalho,ST,26,São Caetano,Brasilien
11,7482,Kahê,ST,22,Palmeiras,Brasilien
12,7487,Koke,STMS,21,Olympique Marseille,Spanien
13,7482,Héctor Altamirano,RV,27,Santos Laguna,Mexiko
14,7486,Robert De Pinho,STRALA,23,Atlas,Brasilien
15,7486,Cléber,ZOM,23,Esporte Club Vitoria,Brasilien
16,7487,Grafite,RARSST,25,Sao Paulo,Brasilien
17,7479,Tiago Prado,RIVLIBIV,20,Gremio Porto Alegre,Brasilien
18,7479,Peter Kovacs,ST,26,Viking FK,Ungarn
19,7483,Olivier Occèan,ST,22,Odd Grenland SKien,Kanada
20,7483,Øyvind Hoås,STMS,20,Molde FK,Norwegen
21,7492,Gaël Clichy,LVLAVLDM,19,Arsenal,Frankreich
22,7479,Athanasios Kostoulas,RV,28,Olympiakos Piråus,Griechenland
23,7484,Rodrigo Taddei,RFLROMRA,24,AC Siena,Brasilien
24,7486,Ruggero Radice,RVIV,33,Piacenza,Italien
25,7489,Nicola Barasso,TW,22,Genoa,Italien
26,7488,Stjepan Tomas,IVLIBZDM,28,Galatasaray,Kroatien
27,7479,Arild Stavrum,RSRA,32,Molde FK,Norwegen
28,7479,Pål Steffen Andresen,IVRIVLIV,22,Lilleström SK,Norwegen
29,7488,Sebastian Mila,LMZMZOM,22,Polen,Polen
30,7485,Manu,RMZM,25,FC Malaga,Spanien
1,7481,Cuéllar,IVRV,23,Osasuna,Spanien
2,7485,A.Novo,RMRFL,26,Atlético Madrid,Spanien
3,7480,Munúa,TW,26,Deportivo La Coruna,Uruguay
4,7480,Guayre,RZOMRARM,24,Villarreal,Spanien
5,7479,Néstor Fabián Canobbio,ZOMMS,24,Celta Vigo,Uruguay
6,7482,Keko,STMS,31,Club Deportivo Tenerife S.A.D.,Spanien
7,7490,Daniel Gabriel Pancu,MSSTZOM,27,Romania,Rumänien
8,7481,Tolga Seyhan,IVRAV,27,Türkei,Türkei
9,7482,Axel Smeets,RVRAV,30,Hamarkameratene,Belgien
10,7479,Alioum Saidou,ZDMRVRM,26,Galatasaray,Kamerun
11,7488,Matías Emilio Delgado,ZOMZM,21,FC Basel,Argentinien
12,7494,César Andrés Carignano,STLS,22,FC Basel,Argentinien
13,7489,B. Schelotto,RSMSST,31,Boca Juniors,Argentinien
14,7486,Piotr Włodarczyk,MSSTRFL,27,Legia Warschau,Polen
15,7495,Pavel Mares,IV,28,Tschechien,Tschechische Repub.
16,7484,Ardian Gashi,RMZOMRFL,23,Valerenga Oslo,Norwegen
17,7481,Ailton,LFLLA,27,U.N.A.M.,Brasilien
18,7483,Paulo Da Silva,IV,26,Toluca,Paraguay
19,7482,Cha Doo Ri,RSSTRFL,24,Eintracht Frankfurt,"Korea, Republik"
20,7487,Lee Wilkie,IV,24,Dundee,Schottland
21,7479,Jamie McAllister,LAVLV,26,Heart Of Midlothian,Schottland
22,7481,Patrick Kisnorbo,IVRVZDM,23,Heart Of Midlothian,Australien
23,7495,Bostjan Cesar,IVLIBLIV,22,Slowenien,Slowenien
24,7485,Fabián Andrés Vargas,ZDMZMLM,24,Boca Juniors,Kolumbien
25,7490,Roberto Carlos Abbondanzieri,TW,32,Boca Juniors,Argentinien
26,7483,Guillermo Ariel Pereyra,ZDMZMIV,24,RCD Mallorca,Argentinien
27,7485,Jolean Lescott,IV,22,Wolverhampton,England
28,7485,Vincent Pericard,MSST,22,FC Portsmouth,Frankreich
29,7490,Gerardo Seoane,LMZM,26,Grasshoppers Zürich,Schweiz
30,7480,Muñoz,MSLA,27,Palmeiras,Kolumbien
1,7484,Pat Noonan,STZOM,24,New England Rev.,USA
2,7480,Bogdan Lobont,TW,26,Ajax Amsterdam,Rumänien
3,7479,Kim T. Y.,LVIV,33,Chunnam Dragons,"Korea, Republik"
4,7479,Choi J. C.,IVRIV,33,Chon-buk H. Motors,"Korea, Republik"
5,7486,Danilo,STZOMZM,22,Internacional,Brasilien
6,7487,Ricardo,TW,32,Manchester United,Spanien
7,7481,Diego Cagna,ZMZOMLM,34,Boca Juniors,Argentinien
8,7485,Morales,STZOM,29,Osasuna,Uruguay
9,7487,Ilan,RSSTMS,24,Atletico Paranaense,Brasilien
10,7488,Adriano,LOMZOM,27,Cruzeiro,Brasilien
11,7479,Mota,STMSRA,23,Chunnam Dragons,Brasilien
12,7486,Zinho,ZM,37,Flamengo,Brasilien
13,7483,Heurelho Gomes,TW,23,PSV Eindhoven,Brasilien
14,7480,Paulinho,ST,22,Sinaloa,Brasilien
15,7487,Eduardo,TW,27,Atletico Mineiro,Brasilien
16,7483,Almir,ZOMMS,22,Botafogo,Brasilien
17,7480,Victor de Oliveira,STLA,23,FC Brügge,Brasilien
18,7485,Diego,TW,22,Flamengo,Brasilien
19,7485,Benjamín,ZMLM,28,Real Betis Sevilla,Spanien
20,7490,Volkan Arslan,ZMZDMRZDM,26,Galatasaray,Türkei
21,7492,Michael Dawson,IV,20,Nottingham Forest,England
22,7492,Robert Earnshaw,STMS,23,West Bromwich,Wales
